MAPID,NAME,LOCATION,MAINTAINER,IN_OPERATI,PET_FRIEND,PHOTO_NAME,Easting,Northing
DFPB0001,"Fountain location:
Aberdeen Park",plaza,Parks,spring to fall,,Aberdeen Park - drinking fountain - 2005.JPG,498017.0937,5453586.315
DFPB0002,"Fountain location:
Adanac Park",SW side of Field house,Parks,spring to fall,,,498245.1736,5458134.418
DFPB0003,"Fountain location:
Alexandra Park",west plaza gateway,Parks,spring to fall,,Alexandra Park - drinking fountain - 2003.jpg,489645.8606,5459221.817
DFPB0004,"Fountain location:
Almond Park",S-side of playground,Parks,spring to fall,,,486558.0935,5456496.522
DFPB0005,"Fountain location:
Andy Livingstone Park",by amphitheatre steps near bas,Parks,spring to fall,,,492277.2611,5458467.851
DFPB0006,"Fountain location:
Andy Livingstone Park",north side of fieldhouse,Parks,spring to fall,,,492467.6194,5458371.978
DFPB0007,"Fountain location:
Arbutus Greenway Park",S-side of playground,Parks,spring to fall,,Arbutus Greenway Park - drinking fountain - 2005.JPG,488700.4792,5456619.333
DFPB0008,"Fountain location:
Arbutus Village Park",S-side of playground,Parks,spring to fall,,,488502.8707,5455124.577
DFPB0009,"Fountain location:
Art Phillips Park (Discovery Square)",NW plaza,Parks,spring to fall,,Discovery Square - drinking fountain - 2005.JPG,491206.0684,5459259.679
DFPB0010,"Fountain location:
Balaclava Park",W of wading pool,Parks,spring to fall,,,487239.3099,5454786.616
DFPB0011,"Fountain location:
Beaconsfield Park",adjacent to field house,Parks,spring to fall,,Beaconsfield Park - drinking fountain - 2005.JPG,496357.5511,5455837.735
DFPB0012,"Fountain location:
Bobolink Park",in front of wading pool,Parks,spring to fall,,,495915.0429,5451427.845
DFPB0132,"Fountain location:
Brewers Park",S-side of wading pool,Parks,spring to fall,,,495181.2222,5454978.052
DFPB0013,"Fountain location:
Burrard View Park",N-side of wading pool,Parks,spring to fall,,,496330.1914,5459753.708
DFPB0030,"Fountain location:
CRAB Park at Portside",,Parks,,,,492596.2014,5459116.964
DFPB0014,"Fountain location:
Carnarvon Park",S-side of wading pool,Parks,spring to fall,,,487448.0091,5456043.725
DFPB0015,"Fountain location:
Cartier Park",SE corner (Prince Edward&37th),Parks,spring to fall,,,492929.6272,5453843.522
DFPB0016,"Fountain location:
Chaldecott Park",W-side of spray park,Parks,spring to fall,,,486050.7275,5455230.967
DFPB0017,"Fountain location:
Charleson Park",N of school off of seawall,Parks,spring to fall,,,490841.8973,5457269.495
DFPB0018,"Fountain location:
China Creek North Park",S central side along jogging c,Parks,spring to fall,,,493952.7324,5456860.528
DFPB0019,"Fountain location:
China Creek South Park",S-side of skate park,Parks,spring to fall,,,494248.7455,5456556.931
DFPB0020,"Fountain location:
Clark Park",,Parks,,,,494681.425,5456011.972
DFPB0021,"Fountain location:
Clinton Park",E-side of wading pool,Parks,spring to fall,,Clinton Park - drinking fountain - 2005.JPG,496353.8942,5457561.804
DFPB0022,"Fountain location:
Clinton Park",N-side of B-ball diamond,Parks,spring to fall,,,496241.2555,5457626.583
DFPB0023,"Fountain location:
Coal Harbour Park",near playground,Parks,spring to fall,,,490883.4704,5459699.562
DFPB0024,"Fountain location:
Collingwood Park",in front of wading pool,Parks,spring to fall,,,497352.8447,5453808.827
DFPB0025,"Fountain location:
Columbia Park",in front of wading pool,Parks,spring to fall,,Columbia Park - drinking fountain - 2005.JPG,491774.0584,5453245.018
DFPB0026,"Fountain location:
Connaught Park",,Parks,,,,488255.6955,5456580.198
DFPB0027,"Fountain location:
Connaught Park",near fieldhouse,Parks,year-round,,Connaught Park - drinking fountain - 2005.JPG,488408.3104,5456702.32
DFPB0028,"Fountain location:
Coopers' Park",,Parks,,,,491777.2573,5457912.443
DFPB0029,"Fountain location:
Coopers' Park","underneath bridge, near basket",Parks,spring to fall,,Coopers Park - drinking fountain - 2005.JPG,491661.283,5457800.266
DFPB0031,"Fountain location:
Creekside Park",,Parks,,,,492500.9395,5458057.735
DFPB0032,"Fountain location:
David Lam Park",near playground and tennis court,Parks,spring to fall,,,490855.7348,5457671.918
DFPB0033,"Fountain location:
David Lam Park","E area, near playground",Parks,spring to fall,,,491032.7143,5457756.341
DFPB0034,"Fountain location:
Devonian Harbour Park",near Stanley Park entrance,Parks,year-round,,,490112.5262,5460269.436
DFPB0035,"Fountain location:
Douglas Park",in front of wading pool,Parks,spring to fall,,Douglas Park - drinking fountain 1 - 2005.JPG,491099.9457,5455610.038
DFPB0036,"Fountain location:
Douglas Park (community centre)",exterior of building,Parks,spring to fall,,Douglas Park - drinking fountain 2 - 2005.JPG,491086.2751,5455481.879
DFPB0037,"Fountain location:
Ebisu Park",near playground,Parks,spring to fall,,Ebisu Park - drinking fountain - 2008.JPG,490324.1996,5450310.318
DFPB0038,"Fountain location:
Elm Park",N-side of field house,Parks,spring to fall,,,488105.4902,5453436.152
DFPB0040,"Fountain location:
Emery Barnes Park",,Parks,,,,490961.2381,5458216.926
DFPB0039,"Fountain location:
Emery Barnes Park",,Parks,,,,490996.6711,5458267.463
DFPB0042,"Fountain location:
English Bay Beach Park",opposite entrance to bathhouse,Parks,year-round,,English Bay Park - drinking fountain - 2005.jpg,489599.1988,5459274.49
DFPB0041,"Fountain location:
English Bay Beach Park",Davie st entrance,Parks,spring to fall,,English Bay Park - drinking fountain - 2005.jpg,489633.0889,5459429.18
DFPB0043,"Fountain location:
English Bay Beach Park",concessions,Parks,spring to fall,,,489968.6396,5458481.549
DFPB0044,"Fountain location:
Falaise Park",in front of wading pool,Parks,spring to fall,,,497819.5988,5455798.163
DFPB0045,"Fountain location:
Fraser River Park",,Parks,spring to fall,,Fraser River Park - drinking fountain - 2007.JPG,489016.263,5450425.497
DFPB0046,"Fountain location:
Fraser River Park",near park entrance by Angus Dr,Parks,spring to fall,,Fraser River Park - drinking fountain - 2007.JPG,489123.5666,5450504.216
DFPB0047,"Fountain location:
Fraserview Golf Course",W off kerr st.,Parks,spring to fall,,,496921.5363,5450957.513
DFPB0048,"Fountain location:
Fraserview Golf Course",clubhouse building,Parks,spring to fall,,,496248.0319,5451251.257
DFPB0049,"Fountain location:
Fraserview Golf Course",6th tee,Parks,spring to fall,,,496672.8227,5450614.627
DFPB0050,"Fountain location:
Fraserview Golf Course",driving range,Parks,spring to fall,,,496257.9655,5451079.757
DFPB0051,"Fountain location:
Garden Park",N-side of field house,Parks,spring to fall,,,495750.5613,5457305.427
DFPB0052,"Fountain location:
Gaston Park",near basketball court,Parks,spring to fall,,Gaston Park - drinking fountain - 2005.JPG,497714.5435,5453758.86
DFPB0053,"Fountain location:
George Park",southeast corner of park,Parks,spring to fall,,George Park - drinking fountain - 2005.JPG,493183.9778,5451085.467
DFPB0054,"Fountain location:
George Wainborn Park",NE corner near seawall,Parks,spring to fall,,,490559.48,5457691.318
DFPB0055,"Fountain location:
Grandview Park",Close to the Stage,Parks,spring to fall,,,494846.8346,5457884.121
DFPB0056,"Fountain location:
Grandview Park",By the Playground,Parks,spring to fall,,,494879.4522,5457886.368
DFPB0057,"Fountain location:
Granville Loop Park",,Parks,,,,489979.2721,5457172.666
DFPB0058,"Fountain location:
Grays Park",front of wading pool,Parks,spring to fall,,,493814.4812,5454259.799
DFPB0059,"Fountain location:
Guelph Park",w-side of tennis courts,Parks,spring to fall,,,493047.567,5456844.698
DFPB0060,"Fountain location:
Harbour Green Park","west, by seawall",Parks,spring to fall,,,491037.514,5459850.171
DFPB0062,"Fountain location:
Harbour Green Park",near spray pool,Parks,spring to fall,,,491151.8936,5459713.576
DFPB0061,"Fountain location:
Harbour Green Park",foot of Jervis Mews,Parks,spring to fall,,,491043.9334,5459773.562
DFPB0064,"Fountain location:
Hastings Community Park",besides path leading to spray,Parks,spring to fall,,Hastings Community Park - drinking fountain - 2005.JPG,497046.5027,5458636.431
DFPB0063,"Fountain location:
Hastings Community Park",besides wading pool,Parks,spring to fall,,Hastings Community Park - drinking fountain - 2005.JPG,497221.2768,5458637.452
DFPB0065,"Fountain location:
Hastings Park - italian gardens",near skate park,Parks,spring to fall,,Hastings Park (Empire Field) - drinking fountain - 2006.JPG,496876.8507,5458945.03
DFPB0068,"Fountain location:
Hastings Park -Plateau Sport Parks / Empire Fields",,Parks,,,Hastings Park (Empire Field) - drinking fountain - 2006.JPG,497508.0521,5458868.306
DFPB0070,"Fountain location:
Hastings Park -Plateau Sport Parks / Empire Fields",,Parks,,,Hastings Park (Empire Field) - drinking fountain - 2006.JPG,497508.0521,5458868.306
DFPB0066,"Fountain location:
Hastings Park -Plateau Sport Parks / Empire Fields",field house at empire field,Parks,spring to fall,,Hastings Park (Empire Field) - drinking fountain - 2006.JPG,497509.1855,5458880.116
DFPB0067,"Fountain location:
Hastings Park -Plateau Sport Parks / Empire Fields",north of empire field,Parks,spring to fall,,Hastings Park (Empire Field) - drinking fountain - 2006.JPG,497572.7645,5459007.405
DFPB0069,"Fountain location:
Hastings Park -Plateau Sport Parks / Empire Fields",,Parks,,,Hastings Park (Empire Field) - drinking fountain - 2006.JPG,497491.9971,5458916.704
DFPB0072,"Fountain location:
Hillcrest Park",,Parks,,,,492215.6736,5454782.736
DFPB0071,"Fountain location:
Hillcrest Park",,Parks,,,,492164.8766,5454684.242
DFPB0073,"Fountain location:
Jericho Beach Park",,Parks,,,,486053.5305,5457712.725
DFPB0074,"Fountain location:
John Hendry (Trout Lake) Park",nearby beach,Parks,spring to fall,,,495490.4001,5455698.077
DFPB0075,"Fountain location:
Jonathan Rogers Park",E-side of wading pool,Parks,spring to fall,,,492178.9345,5456839.639
DFPB0076,"Fountain location:
Kaslo Park",SE corner of tennis courts,Parks,spring to fall,,,496716.0821,5456811.716
DFPB0077,"Fountain location:
Kensington Park",between baseball diamond and parking lots,Parks,spring to fall,,,494593.3075,5453943.361
DFPB0078,"Fountain location:
Kerrisdale Centennial Park",2nd N-side entrance,Parks,spring to fall,,,488556.8895,5453418.187
DFPB0079,"Fountain location:
Killarney Park",in front of wading pool,Parks,spring to fall,,Killarney Park - drinking fountain 1 - 2005.JPG,496951.7151,5452709.876
DFPB0080,"Fountain location:
Killarney Park",north plaza,Parks,spring to fall,,Killarney Park - drinking fountain 2 - 2005.JPG,496699.8631,5452947.485
DFPB0081,"Fountain location:
Kingcrest Park",E-side of washroom,Parks,spring to fall,,Kingcrest Park - drinking fountain - 2005.JPG,494573.2788,5454964.721
DFPB0084,"Fountain location:
Kitsilano Beach Park",besides parking lot,Parks,spring to fall,,,488963.8521,5458243.15
DFPB0082,"Fountain location:
Kitsilano Beach Park",opposite washrooms,Parks,spring to fall,,,488811.7298,5457981.819
DFPB0083,"Fountain location:
Kitsilano Beach Park",besides playground,Parks,spring to fall,,,488924.0624,5458133.613
DFPB0088,"Fountain location:
Langara Golf Course",clubhouse building,Parks,spring to fall,,,491806.3624,5452351.157
DFPB0087,"Fountain location:
Langara Golf Course",56th and Ontario,Parks,spring to fall,,,492257.7102,5451863.638
DFPB0085,"Fountain location:
Langara Golf Course",servive yard,Parks,spring to fall,,,491865.2751,5451726.515
DFPB0086,"Fountain location:
Langara Golf Course",cambie pathway,Parks,spring to fall,,,491530.0553,5452272.654
DFPB0089,"Fountain location:
Locarno Beach Park",near concessions,Parks,spring to fall,,,484932.1722,5458055.94
DFPB0090,"Fountain location:
MacDonald Park",near NW corner of tennis court,Parks,spring to fall,,,492828.9927,5453037.32
DFPB0091,"Fountain location:
Maclean Park",,Parks,,,,493495.6999,5458469.744
